name,population
"Autauga County, AL",55601
"Baldwin County, GA",44823
"Barbour County, WV",16535
"Bibb County, GA",153095
"Blount County, TN",131349
"Bullock County, AL",10138
"Butler County, PA",187888
"Calhoun County, WV",7254
"Chambers County, TX",42454
"Cherokee County, TX",52592
"Chilton County, AL",44153
"Choctaw County, OK",14668
"Clarke County, VA",14523
"Clay County, WV",8632
"Cleburne County, AR",24965
"Coffee County, TN",55700
"Colbert County, AL",54762
"Conecuh County, AL",12277
"Coosa County, AL",10715
"Covington County, MS",18853
"Crenshaw County, AL",13824
"Cullman County, AL",83442
"Dale County, AL",48956
"Dallas County, TX",2637772
"DeKalb County, TN",20138
"Elmore County, ID",27259
"Escambia County, FL",315534
"Etowah County, AL",102501
"Fayette County, WV",43018
"Franklin County, WA",94347
"Geneva County, AL",26314
"Greene County, VA",19779
"Hale County, TX",33830
"Henry County, VA",50953
"Houston County, TX",23169
"Jackson County, WI",20478
"Jefferson County, WI",85129
"Lamar County, TX",49728
"Lauderdale County, TN",25825
"Lawrence County, TN",43734
"Lee County, VA",23541
"Limestone County, TX",23519
"Lowndes County, MS",58930
"Macon County, TN",24265
"Madison County, VA",13295
"Marengo County, AL",19066
"Marion County, WV",56097
"Marshall County, WV",30785
"Mobile County, AL",413757
"Monroe County, WI",46051
"Montgomery County, VA",98985
"Morgan County, WV",17787
"Perry County, TN",8064
"Pickens County, SC",124937
"Pike County, PA",55933
"Randolph County, WV",28823
"Russell County, VA",26748
"St. Clair County, MO",9395
"Shelby County, TX",25418
"Sumter County, SC",106512
"Talladega County, AL",79828
"Tallapoosa County, AL",40497
"Tuscaloosa County, AL",208911
"alker County, AL",63711
"Washington County, WI",135693
"Wilcox County, GA",8812
"Winston County, MS",18165
"Aleutians East Borough, AK",3515
"Aleutians West Census Area, AK",5723
"Anchorage Municipality, AK",291538
"Bethel Census Area, AK",18216
"Bristol Bay Borough, AK",877
"Denali Borough, AK",2059
"Dillingham Census Area, AK",5000
"Fairbanks North Star Borough, AK",98971
"Haines Borough, AK",2474
"Hoonah-Angoon Census Area, AK",2151
"Juneau City and Borough, AK",32113
"Kenai Peninsula Borough, AK",58533
"Ketchikan Gateway Borough, AK",13918
"Kodiak Island Borough, AK",13345
"Kusilvak Census Area, AK",8303
"Lake and Peninsula Borough, AK",1587
"Matanuska-Susitna Borough, AK",107610
"Nome Census Area, AK",10008
"North Slope Borough, AK",9872
"Northwest Arctic Borough, AK",7671
"Petersburg Borough, AK",3221
"Prince of Wales-Hyder Census Area, AK",6422
"Sitka City and Borough, AK",8647
"Skagway Municipality, AK",1148
"Southeast Fairbanks Census Area, AK",6918
"Valdez-Cordova Census Area, AK",9164
"Wrangell City and Borough, AK",2503
"Yakutat City and Borough, AK",604
"Yukon-Koyukuk Census Area, AK",5327
"Apache County, AZ",71818
"Cochise County, AZ",126770
"Coconino County, AZ",142854
"Gila County, AZ",53889
"Graham County, NC",8484
"Greenlee County, AZ",9483
"La Paz County, AZ",21098
"Maricopa County, AZ",4410824
